format	fm-lint-telemetry-v1
git_head	ef96da5e4f4b8e8d15af242a0e0d249dd0d938c2
content_cksum	2732282253-16819
shellcheck_version	0.11.0
analysis_mode	full
jobs	1
root_count	360
direct_lines	223430
direct_bytes	10608928
source_directives	637
source_boundary_directives	102
source_followed_directives	535
source_target_count	64
shard_1_weight_bytes	663499
shard_2_weight_bytes	662403
shard_3_weight_bytes	663176
shard_4_weight_bytes	663322
shard_5_weight_bytes	662782
shard_6_weight_bytes	663386
shard_7_weight_bytes	663426
shard_8_weight_bytes	663423
shard_9_weight_bytes	662759
shard_10_weight_bytes	663584
shard_11_weight_bytes	663231
shard_12_weight_bytes	662798
shard_13_weight_bytes	663446
shard_14_weight_bytes	662248
shard_15_weight_bytes	663228
shard_16_weight_bytes	662217
wall_seconds	3513
worker_wall_sum_seconds	3512.04
max_worker_wall_seconds	2399.46
user_seconds	1082.95
system_seconds	35.29
max_worker_rss_kib	7720176
worker_rss_sum_kib	44361584
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	4.05/4.16/4.18
load_average_end	4.92/5.37/5.15
aggregate_cpu_percent_start	191.00
aggregate_cpu_percent_end	97.40
result_exit	0
